,METROPOLITAN STATISTICAL AREA (MSA),BORROWER CREDIT SCORE AT ORIGINATION,msa,solar_system_count
55,15380,758.0204473720324,15380.0,6.05338078291815
56,15500,757.1838111298482,15500.0,1.75
57,15540,763.9020572450805,15540.0,7.111111111111111
58,15680,764.4299065420561,,
59,15940,775.8086807538549,15940.0,2.0470588235294116
60,15980,772.4350158982512,15980.0,86.43448275862069
61,16020,770.3478260869565,16020.0,4.947368421052632
62,16060,772.5495689655172,16060.0,1.1666666666666667
63,16180,787.5373134328358,16180.0,15.875
64,16220,754.8403225806452,16220.0,4.333333333333333
65,16300,769.2342978122795,16300.0,5.375
66,16540,742.5851780558229,16540.0,4.304347826086956
67,16580,765.21399730821,16580.0,5.06
68,16620,724.7563909774436,16620.0,1.5161290322580645
69,16700,764.8754189944134,16700.0,16.762237762237763
70,16740,767.8636203038511,16740.0,3.1778350515463916
71,16820,774.9346710219319,16820.0,3.3529411764705883
72,16860,753.1953569864214,16860.0,4.468085106382978
73,16940,751.8858447488584,16940.0,4.8
74,16980,765.7408225995316,16980.0,2.2780102278010226
75,17020,761.4413004214329,17020.0,57.21875
76,17140,766.762237258854,17140.0,2.7735042735042734
77,17300,776.723076923077,17300.0,1.3653846153846154
78,17420,765.9250374812593,17420.0,2.1153846153846154
79,17460,763.3687646638784,17460.0,2.1565891472868217
80,17660,761.8258823529412,17660.0,4.043478260869565
81,17780,767.0454836643178,17780.0,2.380952380952381
82,17820,768.591952690167,17820.0,11.8
83,17860,767.2384839650146,17860.0,6.538461538461538
84,17900,758.3511773362767,17900.0,8.869047619047619
85,17980,756.5294736842105,17980.0,2.2337662337662336
86,18020,761.0257611241218,18020.0,2.0
87,18140,762.3686978297162,18140.0,2.3529411764705883
88,18580,752.2237414543195,18580.0,2.3440860215053765
89,18700,764.5928143712575,18700.0,34.4
90,18880,767.8643263757116,18880.0,7.466666666666667
91,19060,750.7430830039526,19060.0,1.25
92,19100,757.601099244053,19100.0,9.0103668261563
93,19140,738.655601659751,19140.0,5.551724137931035
94,19180,806.1978021978022,19180.0,1.44
95,19300,754.3451456310679,19300.0,6.615384615384615
96,19340,755.7640888021468,19340.0,1.8041237113402062
97,19380,756.3247941445562,19380.0,2.342995169082126
98,19430,755.7391304347826,,
99,19460,758.1497716894977,19460.0,1.9189189189189189
100,19500,770.9204188481675,19500.0,0.9354838709677419
101,19660,757.0620437956204,19660.0,56.10989010989011
102,19740,766.0940309541411,19740.0,33.55336617405583
103,19780,765.9767031025726,19780.0,3.4051724137931036
104,19820,760.4049943804439,19820.0,2.0859437751004015
105,20020,754.0264105642257,20020.0,1.1428571428571428
106,20100,760.3759036144578,20100.0,27.52173913043478
107,20220,748.7701067615658,20220.0,4.782608695652174
108,20260,762.2306306306307,20260.0,1.4142857142857144
109,20500,770.5427475750056,20500.0,6.24468085106383
110,20700,745.3072776280324,20700.0,2.6538461538461537
111,20740,769.5208098987626,20740.0,2.0
112,20940,732.1145510835913,20940.0,67.4
113,21060,752.8895463510848,21060.0,1.6666666666666667
114,21140,751.7346625766871,21140.0,3.90625
115,21300,786.0,21300.0,2.5172413793103448
116,21340,729.2004614940871,21340.0,26.946308724832214
117,21420,770.0075757575758,21420.0,7.454545454545454
118,21500,736.6640181611805,21500.0,2.413793103448276
119,21660,774.9387691346454,21660.0,15.012658227848101
120,21780,751.5599232981783,21780.0,3.4
121,21820,755.2880364109233,,
122,22020,763.7254098360655,22020.0,1.4242424242424243
123,22140,771.9861878453039,22140.0,5.321428571428571
124,22180,742.8363431151241,22180.0,4.578125
125,22220,758.8891891891892,22220.0,3.962025316455696
126,22380,773.3253424657535,22380.0,18.8
127,22420,727.4281914893617,22420.0,1.6209677419354838
128,22500,750.4855735397607,22500.0,1.945945945945946
129,22520,733.5871056241426,22520.0,2.4242424242424243
130,22540,776.1635598316296,22540.0,3.2857142857142856
131,22660,776.3325412356724,22660.0,18.636363636363637
132,22900,754.5786228160329,22900.0,3.509433962264151
133,23060,761.4042377545404,23060.0,1.7378640776699028
134,23420,753.7911333125195,23420.0,130.1741935483871
135,23460,755.6814310051108,23460.0,1.65
136,23540,774.8910081743869,23540.0,18.75
137,23580,775.0773966578716,23580.0,2.7948717948717947
138,23900,773.7569573283859,23900.0,3.8181818181818183
139,24020,777.2116788321168,24020.0,7.526315789473684
140,24140,784.3602150537635,24140.0,3.9411764705882355
141,24220,758.1412429378531,24220.0,3.5789473684210527
142,24260,740.3210526315789,24260.0,4.625
143,24300,749.8875,24300.0,72.92592592592592
144,24340,762.1565693430657,24340.0,2.4642857142857144
145,24420,768.4033613445379,24420.0,0.0
