,METROPOLITAN STATISTICAL AREA (MSA),ORIGINAL DEBT TO INCOME RATIO,msa,solar_system_count
347,43420,25.0,43420.0,29.866666666666667
348,43580,26.0,43580.0,7.214285714285714
349,43620,32.0,43620.0,1.3404255319148937
350,43780,28.0,43780.0,2.3838383838383836
351,43900,31.0,43900.0,3.761904761904762
352,44060,31.0,44060.0,6.616161616161616
353,44100,29.0,44100.0,5.770833333333333
354,44140,31.0,44140.0,25.33108108108108
355,44180,28.0,44180.0,4.679012345679013
356,44220,25.0,44220.0,2.3333333333333335
357,44300,31.0,44300.0,2.4571428571428573
358,44420,32.0,44420.0,2.6296296296296298
359,44600,25.0,44600.0,1.4242424242424243
360,44700,34.0,44700.0,108.23841059602648
361,44940,29.0,44940.0,1.4
362,45060,31.0,45060.0,6.226519337016574
363,45220,33.0,45220.0,4.125
364,45300,33.0,45300.0,34.704986149584485
365,45460,28.0,45460.0,1.5238095238095237
366,45500,28.0,45500.0,3.642857142857143
367,45540,36.0,45540.0,136.63636363636363
368,45780,30.0,45780.0,5.3604651162790695
369,45820,32.0,45820.0,3.025
370,45940,30.0,45940.0,30.6
371,46060,29.0,46060.0,70.91739130434783
372,46140,31.0,46140.0,2.642599277978339
373,46220,27.0,46220.0,3.6862745098039214
374,46300,37.0,46300.0,7.0
375,46340,31.0,46340.0,3.2291666666666665
376,46520,34.0,,
377,46540,30.0,46540.0,2.231578947368421
378,46660,36.0,46660.0,2.15625
379,46700,33.0,46700.0,120.73737373737374
380,47020,31.0,47020.0,1.1304347826086956
381,47220,34.0,47220.0,25.5
382,47260,32.0,47260.0,3.2610837438423643
383,47300,32.0,47300.0,158.09345794392524
384,47380,37.0,47380.0,2.533333333333333
385,47460,35.0,47460.0,12.0
386,47580,27.0,47580.0,4.92
387,47900,31.0,47900.0,13.68352490421456
388,47940,32.0,47940.0,9.153846153846153
389,48060,33.0,48060.0,2.888888888888889
390,48140,27.0,48140.0,3.4074074074074074
391,48260,26.0,,
392,48300,31.0,48300.0,5.6
393,48540,23.0,48540.0,1.4130434782608696
394,48620,31.0,48620.0,2.316546762589928
395,48660,32.0,48660.0,2.5
396,48700,33.0,48700.0,1.4090909090909092
397,48900,35.0,48900.0,4.695652173913044
398,49020,29.0,49020.0,2.375
399,49180,28.0,49180.0,2.778523489932886
400,49340,33.0,49340.0,41.14942528735632
401,49420,34.0,49420.0,9.0
402,49500,23.0,,
403,49620,33.0,49620.0,5.771929824561403
404,49660,33.0,49660.0,2.0828729281767955
405,49700,33.0,49700.0,69.02222222222223
406,49740,27.0,49740.0,17.098039215686274
