,METROPOLITAN STATISTICAL AREA (MSA),ORIGINAL INTEREST RATE,msa,solar_system_count
122,22020,3.7903371833084836,22020.0,1.4242424242424243
123,22140,4.031077348066298,22140.0,5.321428571428571
124,22180,3.527172686230249,22180.0,4.578125
125,22220,3.849605855855856,22220.0,3.962025316455696
126,22380,3.889982876712329,22380.0,18.8
127,22420,4.031703457446804,22420.0,1.6209677419354838
128,22500,3.660798733286414,22500.0,1.945945945945946
129,22520,3.756172839506173,22520.0,2.4242424242424243
130,22540,3.5334485868911605,22540.0,3.2857142857142856
131,22660,3.7336804584847636,22660.0,18.636363636363637
132,22900,3.6139516957862283,22900.0,3.509433962264151
133,23060,3.8506810676940013,23060.0,1.7378640776699028
134,23420,3.9808140805494996,23420.0,130.1741935483871
135,23460,3.5992333901192506,23460.0,1.65
136,23540,3.6369209809264307,23540.0,18.75
137,23580,3.583777484608619,23580.0,2.7948717948717947
138,23900,3.476808905380334,23900.0,3.8181818181818183
139,24020,3.9399343065693437,24020.0,7.526315789473684
140,24140,3.7856182795698925,24140.0,3.9411764705882355
141,24220,3.687853107344633,24220.0,3.5789473684210527
142,24260,3.6927631578947366,24260.0,4.625
143,24300,3.7924034090909076,24300.0,72.92592592592592
144,24340,3.6847156934306837,24340.0,2.4642857142857144
145,24420,3.6147584033613445,24420.0,0.0
146,24500,3.328333333333333,24500.0,2.7142857142857144
147,24540,3.7850181698050855,24540.0,24.009615384615383
148,24580,3.3275154761904693,24580.0,3.180327868852459
149,24660,3.6797244642360143,24660.0,2.767123287671233
150,24780,3.551042983565108,24780.0,3.8
151,24860,3.703844058944229,24860.0,3.6783216783216783
152,25020,2.7415644171779143,,
153,25060,3.937304560260585,25060.0,3.630434782608696
154,25180,3.6367332820907006,25180.0,10.073170731707316
155,25220,3.7300084175084174,25220.0,18.181818181818183
156,25260,4.092581775700935,25260.0,171.47826086956522
157,25420,3.6516772228989023,25420.0,6.233009708737864
158,25500,3.887485481997677,25500.0,4.571428571428571
159,25540,3.519910058391421,25540.0,25.735294117647058
160,25620,3.799258474576271,25620.0,0.7142857142857143
161,25860,3.6504194630872484,25860.0,4.846153846153846
162,25940,3.696235083532191,25940.0,3.619047619047619
163,25980,4.0,25980.0,2.066666666666667
164,26100,3.8100896057347673,26100.0,5.786885245901639
165,26140,3.643672638436472,26140.0,100.57692307692308
166,26180,3.7226060070671383,,
167,26300,4.254189944134078,26300.0,1.5
168,26380,3.423489010988995,26380.0,11.625
169,26420,3.759167514317471,26420.0,2.8881322957198443
170,26580,3.6010492700729926,26580.0,2.3636363636363638
171,26620,3.460803026280865,26620.0,3.623529411764706
172,26820,4.0849873417721465,26820.0,3.3846153846153846
173,26900,3.7077837293596456,26900.0,3.9019073569482288
174,26980,3.3804327106366756,26980.0,5.78125
175,27060,2.875,27060.0,6.848484848484849
176,27100,3.24311734164072,27100.0,1.3658536585365855
177,27140,3.6500735826296755,27140.0,2.35
178,27180,3.6015625,27180.0,3.0
179,27260,3.7695908944659013,27260.0,17.291666666666668
180,27340,3.7211191335740073,27340.0,6.333333333333333
181,27500,3.5051575931232097,27500.0,3.59375
182,27620,3.3892857142857142,27620.0,6.54054054054054
183,27740,3.481918465227818,27740.0,2.619047619047619
184,27780,3.4078065134099615,27780.0,1.1538461538461537
185,27860,3.7401129943502824,27860.0,4.461538461538462
186,27900,3.8874871266735322,27900.0,7.655172413793103
187,27980,3.679820992676973,,
188,28020,3.7143517750115267,28020.0,2.4871794871794872
189,28100,4.255008347245409,28100.0,2.0555555555555554
190,28140,3.693270317311552,28140.0,4.711111111111111
191,28420,3.6969714698447196,28420.0,16.02127659574468
192,28660,3.974726658476655,28660.0,5.811594202898551
193,28700,3.9492699490662138,28700.0,2.915492957746479
194,28740,3.7328295702840455,28740.0,13.947368421052632
195,28940,3.621655795195499,28940.0,2.774193548387097
196,29020,3.692294520547945,29020.0,2.933333333333333
197,29100,3.626197023616955,29100.0,2.8
198,29140,3.463917525773196,29140.0,3.8205128205128207
199,29180,3.8672909267032614,29180.0,17.448979591836736
200,29200,3.483011444921316,,
201,29340,3.9966003616636376,29340.0,7.413043478260869
202,29420,4.170362453531597,29420.0,42.975
203,29460,4.039682080924864,29460.0,28.6013986013986
204,29540,3.659301104228358,29540.0,10.636363636363637
205,29620,3.82476164383562,29620.0,2.201550387596899
206,29700,3.6961009174311927,29700.0,3.0163934426229506
207,29740,3.8012318361955124,29740.0,51.609756097560975
208,29820,4.08381098511697,29820.0,76.64830508474576
209,29940,3.7865513392857144,29940.0,7.315789473684211
210,30020,4.05094537815126,30020.0,2.7333333333333334
211,30140,3.5698529411764706,30140.0,6.162162162162162
212,30300,3.7440878378378377,30300.0,6.428571428571429
213,30340,4.060763888888889,30340.0,1.2592592592592593
214,30460,3.7773305912596506,30460.0,2.6134453781512605
215,30620,2.848993288590604,30620.0,4.555555555555555
216,30700,3.679759496516076,30700.0,2.891891891891892
217,30780,3.7220241968279866,30780.0,2.2333333333333334
218,30860,3.759093237704918,30860.0,4.6923076923076925
219,30980,3.8510296010296012,30980.0,2.0
220,31020,4.216369529983792,31020.0,2.5
221,31080,3.6840440308788507,,
222,31100,3.7955341307894015,31100.0,50.67430207587688
223,31140,3.7811296921345727,31140.0,1.9679487179487178
224,31180,3.9643830525272548,31180.0,2.4166666666666665
225,31340,3.8313052345343492,31340.0,1.411764705882353
226,31420,3.9733222811670945,31420.0,3.037037037037037
227,31460,4.0632142857142854,31460.0,135.1578947368421
228,31540,3.4447968285430974,31540.0,5.715596330275229
229,31700,3.712322620519151,31700.0,8.505882352941176
230,31740,4.25,31740.0,3.625
231,31860,3.6151558654634948,31860.0,3.210526315789474
232,31900,3.4110576923076925,31900.0,1.6153846153846154
233,32420,4.081106870229007,,
234,32580,3.5208555133079855,32580.0,3.849557522123894
235,32780,3.8256880733944953,32780.0,23.51851851851852
236,32820,3.930284071404072,32820.0,2.6621621621621623
237,32900,3.6951069723018097,32900.0,112.16666666666667
238,33100,3.8677472952729715,33100.0,14.633333333333333
239,33140,3.86121103117506,33140.0,2.586206896551724
240,33220,3.5728658536585365,33220.0,2.9285714285714284
241,33260,3.5646051103368177,33260.0,8.73076923076923
242,33340,3.583231373454984,33340.0,2.377450980392157
243,33460,3.731368204192295,33460.0,3.510610079575597
244,33540,3.8211886792452816,33540.0,14.266666666666667
245,33660,3.907595927956147,33660.0,1.6111111111111112
246,33700,4.112071428571435,33700.0,66.25581395348837
247,33740,3.7143703199455174,33740.0,4.170731707317073
248,33780,3.9392241379310344,33780.0,3.442622950819672
249,33860,3.65361032863848,33860.0,3.4
250,34060,3.4025000000000016,34060.0,1.5227272727272727
251,34100,3.0186068702290076,34100.0,2.2083333333333335
252,34580,3.6687125748502996,34580.0,9.11111111111111
253,34620,3.8501194267515926,34620.0,1.967741935483871
254,34740,3.7429678238780544,34740.0,3.196078431372549
255,34820,3.802244073977594,34820.0,3.9285714285714284
256,34900,3.924176470588227,34900.0,81.41025641025641
257,34940,3.679306897700765,34940.0,66.09876543209876
258,34980,3.8055507003972586,34980.0,2.6605263157894736
259,35100,3.450747282608696,35100.0,3.292682926829268
260,35300,3.64385236641221,35300.0,23.869318181818183
261,35380,3.797358900311901,35380.0,34.287958115183244
262,35620,3.6360809193051336,35620.0,18.65583389754006
263,35660,3.707487824675325,35660.0,1.7179487179487178
264,35840,3.876421777490858,35840.0,93.57485029940119
265,35980,3.7008730666666536,35980.0,25.6
266,36100,3.9505371530886304,36100.0,32.471698113207545
267,36140,3.6906331168831144,36140.0,55.064516129032256
268,36220,3.918435517970403,36220.0,3.5555555555555554
269,36260,3.7148237914319404,36260.0,33.23
270,36420,3.7199474381625386,36420.0,2.3911764705882352
271,36500,3.66780749789385,36500.0,8.5
272,36540,3.6010890530419752,36540.0,2.58
273,36740,3.898824896265539,36740.0,63.02374670184697
274,36780,3.4481278655119647,36780.0,2.549019607843137
275,36980,4.174618320610687,36980.0,2.24
276,37100,3.6804329022160083,37100.0,98.5421052631579
277,37340,3.6863314734973285,37340.0,83.50467289719626
278,37380,4.250255319148939,37380.0,151.92857142857142
279,37460,3.8054561717352415,37460.0,5.324324324324325
280,37620,3.2859424920127798,37620.0,1.6923076923076923
281,37700,3.652173913043478,37700.0,3.4827586206896552
282,37860,3.7399103139013454,37860.0,10.16842105263158
283,37900,3.577648621720356,37900.0,2.32
284,37980,3.669435029797784,37980.0,13.662078458362009
285,38060,3.932317510500918,38060.0,77.4681960375391
286,38220,4.223802395209581,38220.0,1.6470588235294117
287,38300,3.6603943919138873,38300.0,1.8785714285714286
288,38340,3.6174547283702214,38340.0,5.947368421052632
289,38540,3.651716820987653,38540.0,3.4347826086956523
290,38660,3.2651466836734695,,
291,38860,3.796044597425915,38860.0,3.4403669724770642
292,38900,3.820768323597514,38900.0,20.073839662447256
293,38940,3.8276887131559927,38940.0,60.8936170212766
294,39100,3.734013888888889,39100.0,26.22
295,39140,3.864868475133581,39140.0,79.32558139534883
296,39150,3.7854205607476636,,
297,39300,3.637456432367415,39300.0,18.438356164383563
298,39340,3.838147156337669,39340.0,23.426356589147286
299,39380,3.8797169811320753,39380.0,8.660377358490566
300,39460,3.839973763118457,39460.0,132.23529411764707
301,39540,3.6772767857142727,39540.0,2.6666666666666665
302,39580,3.619262301463704,39580.0,5.780952380952381
303,39660,3.9236033519553115,39660.0,3.2916666666666665
304,39740,3.8755672913117487,39740.0,4.084033613445378
305,39820,4.031895053475937,39820.0,19.804347826086957
306,39900,3.9757093284343745,39900.0,18.054545454545455
307,40060,3.819019658830862,40060.0,2.111111111111111
308,40140,3.915657693305698,40140.0,120.66503667481662
309,40220,3.7470789895749625,40220.0,2.5443037974683542
310,40340,3.604176582579724,40340.0,4.069767441860465
311,40380,3.827734518700183,40380.0,3.3346456692913384
312,40420,3.5183170643528756,40420.0,2.9444444444444446
313,40580,2.970689655172414,40580.0,6.48
